x	"Generate Data"	"Bare"	"Spark"	"IMRU-mem"	"IMRU-disk"
100000		2.961000	3.645000	15.471000	14.980000	19.334000
200000		3.070000	5.890000	13.363000	12.668000	28.685000
300000		4.106000	8.597000	17.356000	13.884000	36.820000
400000		5.257000	10.737000	21.257000	17.448000	50.727000
500000		6.910000	13.827000	25.995000	19.909000	58.488000
600000		8.400000	16.956000	28.551000	21.919000	68.364000
700000		9.382000	18.184000	31.487000	25.690000	77.251000
800000		11.339000	21.630000	35.992000	27.073000	88.820000
900000		12.624000	22.956000	37.321000	29.384000	98.954000
1000000		13.951000	27.232000	45.144000	33.866000	109.014000
