x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
0		1793.000000	1812.000000	1812.000000	1811.000000	1812.000000	1813.000000	1811.000000	1812.000000
1		1800.000000	1812.000000	1812.000000	1811.000000	1812.000000	1813.000000	1811.000000	1812.000000
2		1805.000000	1812.000000	1812.000000	1811.000000	1813.000000	1813.000000	1811.000000	1812.000000
3		1795.000000	1812.000000	1812.000000	1811.000000	1813.000000	1813.000000	1811.000000	1812.000000
4		1795.000000	1812.000000	1812.000000	1811.000000	1813.000000	1813.000000	1811.000000	1812.000000
5		1789.000000	1812.000000	1812.000000	1811.000000	1813.000000	1813.000000	1811.000000	1812.000000
6		1773.000000	1810.000000	1812.000000	1811.000000	1813.000000	1813.000000	1811.000000	1812.000000
7		1765.000000	1808.000000	1808.000000	1811.000000	1813.000000	1813.000000	1811.000000	1812.000000
8		1750.000000	1795.000000	1809.000000	1811.000000	1813.000000	1813.000000	1811.000000	1812.000000
9		1739.000000	1778.000000	1803.000000	1802.000000	1813.000000	1813.000000	1811.000000	1812.000000
10		1736.000000	1778.000000	1789.000000	1808.000000	1813.000000	1813.000000	1811.000000	1812.000000
11		1732.000000	1778.000000	1778.000000	1799.000000	1811.000000	1813.000000	1811.000000	1812.000000
12		1732.000000	1778.000000	1778.000000	1789.000000	1811.000000	1811.000000	1811.000000	1812.000000
13		1732.000000	1778.000000	1778.000000	1777.000000	1795.000000	1811.000000	1811.000000	1812.000000
14		1729.000000	1778.000000	1778.000000	1777.000000	1779.000000	1807.000000	1810.000000	1812.000000
15		1729.000000	1778.000000	1778.000000	1777.000000	1779.000000	1792.000000	1808.000000	1812.000000
16		1729.000000	1778.000000	1778.000000	1777.000000	1779.000000	1779.000000	1804.000000	1804.000000
17		1729.000000	1778.000000	1778.000000	1777.000000	1779.000000	1778.000000	1794.000000	1808.000000
18		1729.000000	1778.000000	1778.000000	1777.000000	1779.000000	1778.000000	1781.000000	1803.000000
19		1729.000000	1778.000000	1778.000000	1777.000000	1779.000000	1778.000000	1777.000000	1787.000000
20		1721.000000	1778.000000	1778.000000	1777.000000	1779.000000	1778.000000	1777.000000	1777.000000
21		1710.000000	1777.000000	1777.000000	1777.000000	1774.000000	1777.000000	1776.000000	1774.000000
22		1701.000000	1768.000000	1769.000000	1768.000000	1769.000000	1768.000000	1768.000000	1769.000000
23		1696.000000	1763.000000	1765.000000	1762.000000	1765.000000	1762.000000	1765.000000	1765.000000
24		1692.000000	1759.000000	1763.000000	1758.000000	1760.000000	1758.000000	1761.000000	1762.000000
25		1690.000000	1757.000000	1759.000000	1757.000000	1759.000000	1757.000000	1760.000000	1760.000000
26		1689.000000	1756.000000	1757.000000	1755.000000	1759.000000	1757.000000	1757.000000	1759.000000
27		1685.000000	1755.000000	1755.000000	1752.000000	1757.000000	1755.000000	1755.000000	1757.000000
28		1680.000000	1749.000000	1750.000000	1747.000000	1751.000000	1750.000000	1750.000000	1751.000000
29		1677.000000	1746.000000	1746.000000	1743.000000	1747.000000	1746.000000	1746.000000	1746.000000
30		1672.000000	1736.000000	1742.000000	1732.000000	1744.000000	1745.000000	1742.000000	1743.000000
31		1656.000000	1728.000000	1732.000000	1721.000000	1733.000000	1736.000000	1731.000000	1733.000000
32		1646.000000	1709.000000	1724.000000	1707.000000	1725.000000	1729.000000	1726.000000	1725.000000
33		1637.000000	1692.000000	1711.000000	1698.000000	1715.000000	1721.000000	1716.000000	1715.000000
34		1627.000000	1679.000000	1691.000000	1675.000000	1704.000000	1709.000000	1704.000000	1708.000000
35		1616.000000	1664.000000	1678.000000	1663.000000	1696.000000	1702.000000	1696.000000	1697.000000
36		1607.000000	1651.000000	1666.000000	1650.000000	1687.000000	1693.000000	1695.000000	1689.000000
37		1597.000000	1637.000000	1655.000000	1637.000000	1676.000000	1679.000000	1695.000000	1683.000000
38		1585.000000	1623.000000	1639.000000	1624.000000	1661.000000	1663.000000	1681.000000	1670.000000
39		1573.000000	1616.000000	1623.000000	1614.000000	1649.000000	1645.000000	1667.000000	1659.000000
40		1561.000000	1616.000000	1617.000000	1614.000000	1638.000000	1633.000000	1651.000000	1649.000000
41		1548.000000	1613.000000	1617.000000	1615.000000	1628.000000	1619.000000	1630.000000	1640.000000
42		1547.000000	1613.000000	1617.000000	1615.000000	1618.000000	1612.000000	1618.000000	1635.000000
43		1547.000000	1614.000000	1617.000000	1615.000000	1617.000000	1614.000000	1612.000000	1637.000000
44		1545.000000	1614.000000	1617.000000	1615.000000	1617.000000	1614.000000	1612.000000	1637.000000
45		1545.000000	1614.000000	1617.000000	1615.000000	1617.000000	1614.000000	1613.000000	1637.000000
46		1545.000000	1614.000000	1617.000000	1615.000000	1617.000000	1614.000000	1614.000000	1637.000000
47		1545.000000	1614.000000	1617.000000	1615.000000	1617.000000	1614.000000	1614.000000	1637.000000
48		1545.000000	1614.000000	1617.000000	1615.000000	1617.000000	1614.000000	1614.000000	1637.000000
49		1545.000000	1614.000000	1617.000000	1615.000000	1617.000000	1614.000000	1614.000000	1616.000000
50		1545.000000	1614.000000	1617.000000	1613.000000	1617.000000	1614.000000	1614.000000	1616.000000
51		1545.000000	1614.000000	1617.000000	1613.000000	1617.000000	1614.000000	1614.000000	1616.000000
52		1545.000000	1614.000000	1617.000000	1613.000000	1617.000000	1614.000000	1614.000000	1616.000000
53		1545.000000	1614.000000	1617.000000	1613.000000	1617.000000	1614.000000	1614.000000	1616.000000
54		1545.000000	1614.000000	1617.000000	1613.000000	1617.000000	1614.000000	1615.000000	1616.000000
55		1545.000000	1614.000000	1617.000000	1613.000000	1617.000000	1614.000000	1615.000000	1616.000000
56		1545.000000	1614.000000	1615.000000	1613.000000	1617.000000	1614.000000	1615.000000	1616.000000
57		1543.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
58		1544.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
59		1544.000000	1610.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
60		1544.000000	1611.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
61		1544.000000	1613.000000	1613.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
62		1544.000000	1614.000000	1615.000000	1613.000000	1613.000000	1614.000000	1615.000000	1616.000000
63		1544.000000	1614.000000	1615.000000	1613.000000	1615.000000	1613.000000	1615.000000	1616.000000
64		1544.000000	1614.000000	1615.000000	1613.000000	1615.000000	1613.000000	1615.000000	1616.000000
65		1544.000000	1614.000000	1615.000000	1613.000000	1615.000000	1610.000000	1613.000000	1616.000000
66		1544.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1614.000000	1614.000000
67		1544.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1614.000000	1613.000000
68		1542.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1614.000000	1615.000000
69		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1614.000000	1615.000000
70		1528.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1614.000000	1615.000000
71		1523.000000	1602.000000	1615.000000	1613.000000	1615.000000	1614.000000	1614.000000	1615.000000
72		1538.000000	1610.000000	1615.000000	1613.000000	1615.000000	1614.000000	1614.000000	1615.000000
73		1538.000000	1614.000000	1602.000000	1613.000000	1615.000000	1614.000000	1614.000000	1615.000000
74		1538.000000	1614.000000	1611.000000	1613.000000	1615.000000	1614.000000	1614.000000	1615.000000
75		1538.000000	1614.000000	1615.000000	1603.000000	1615.000000	1614.000000	1614.000000	1615.000000
76		1538.000000	1614.000000	1615.000000	1609.000000	1615.000000	1614.000000	1614.000000	1615.000000
77		1538.000000	1614.000000	1615.000000	1613.000000	1613.000000	1614.000000	1614.000000	1615.000000
78		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1613.000000	1614.000000	1615.000000
79		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1611.000000	1614.000000	1615.000000
80		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1609.000000	1615.000000
81		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1611.000000	1615.000000
82		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1608.000000
83		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1612.000000
84		1526.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
85		1534.000000	1613.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
86		1538.000000	1611.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
87		1538.000000	1614.000000	1606.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
88		1538.000000	1614.000000	1612.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
89		1538.000000	1614.000000	1615.000000	1611.000000	1615.000000	1614.000000	1615.000000	1616.000000
90		1538.000000	1614.000000	1615.000000	1613.000000	1614.000000	1614.000000	1615.000000	1616.000000
91		1538.000000	1614.000000	1615.000000	1613.000000	1613.000000	1614.000000	1615.000000	1616.000000
92		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1613.000000	1615.000000	1616.000000
93		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1616.000000
94		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1612.000000	1616.000000
95		1538.000000	1614.000000	1615.000000	1613.000000	1615.000000	1614.000000	1615.000000	1607.000000
