x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
1		15.070000	12.910004	12.379997	13.110001	13.900002	13.669998	14.169998	14.010002
4		15.339996	12.860001	12.379997	13.040001	13.830002	13.589996	14.099998	13.940002
7		15.629997	12.790001	12.309998	12.970001	13.760002	13.519997	14.019997	13.870003
10		15.889999	12.720001	12.250000	12.910004	13.690002	13.449997	13.949997	13.800003
13		16.190002	12.660004	12.180000	12.839996	13.610001	13.379997	13.879997	13.739998
16		16.489998	12.610001	12.129997	12.790001	13.550003	13.300003	13.809998	13.669998
19		16.790001	12.760002	12.059998	12.720001	13.480003	13.230003	13.730003	13.589996
22		17.089996	13.010002	12.000000	12.660004	13.400002	13.169998	13.669998	13.519997
25		17.360001	13.320000	12.070000	12.599998	13.330002	13.120003	13.610001	13.449997
28		17.699997	13.699997	12.370003	12.540001	13.269997	13.050003	13.540001	13.389999
31		18.010002	13.739998	12.629997	12.779999	13.199997	12.989998	13.459999	13.320000
34		18.279999	13.669998	12.980003	13.040001	13.139999	12.910004	13.389999	13.239998
37		18.279999	13.620003	13.279999	13.370003	13.389999	12.849998	13.320000	13.190002
40		18.279999	13.550003	13.230003	13.720001	13.639999	13.059998	13.260002	13.120003
43		18.279999	13.489998	13.150002	13.699997	13.970001	13.309998	13.199997	13.059998
46		18.279999	13.419998	13.089996	13.650002	14.389999	13.680000	13.449997	12.989998
49		18.279999	13.360001	13.019997	13.589996	14.349998	13.680000	13.690002	12.930000
52		18.279999	13.300003	12.980003	13.519997	14.290001	14.019997	14.000000	13.089996
55		18.279999	13.239998	12.919998	13.449997	14.220001	14.160004	14.000000	13.339996
58		18.279999	13.190002	12.870003	13.389999	14.150002	14.099998	14.370003	13.629997
61		18.279999	13.120003	12.830002	13.330002	14.089996	14.040001	14.459999	13.959999
64		18.279999	13.059998	12.769997	13.269997	14.040001	13.980003	14.400002	14.150002
67		18.279999	13.010002	12.730003	13.209999	13.989998	13.940002	14.330002	14.080002
70		18.279999	13.160004	12.680000	13.269997	14.000000	13.870003	14.260002	14.129997
73		18.279999	13.160004	12.980003	13.529999	14.269997	14.059998	14.440002	14.449997
76		18.279999	13.440002	13.279999	13.809998	14.610001	14.419998	14.769997	14.730003
79		18.279999	13.739998	13.589996	14.070000	14.889999	14.690002	15.029999	14.730003
82		18.279999	14.019997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
