x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
0		1798.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
3		1807.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
6		1806.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
9		1803.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
12		1797.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
15		1790.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
18		1783.000000	1809.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
21		1770.000000	1807.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
24		1761.000000	1794.000000	1802.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
27		1750.000000	1780.000000	1807.000000	1811.000000	1811.000000	1811.000000	1811.000000	1811.000000
30		1737.000000	1777.000000	1801.000000	1810.000000	1811.000000	1811.000000	1811.000000	1811.000000
33		1733.000000	1777.000000	1789.000000	1808.000000	1811.000000	1811.000000	1811.000000	1811.000000
36		1733.000000	1777.000000	1776.000000	1794.000000	1809.000000	1811.000000	1811.000000	1811.000000
39		1733.000000	1777.000000	1776.000000	1778.000000	1805.000000	1808.000000	1811.000000	1811.000000
42		1733.000000	1777.000000	1776.000000	1777.000000	1792.000000	1806.000000	1811.000000	1811.000000
45		1733.000000	1777.000000	1776.000000	1777.000000	1778.000000	1796.000000	1809.000000	1811.000000
48		1733.000000	1777.000000	1777.000000	1777.000000	1776.000000	1796.000000	1805.000000	1811.000000
51		1733.000000	1777.000000	1777.000000	1777.000000	1776.000000	1784.000000	1795.000000	1798.000000
54		1733.000000	1777.000000	1777.000000	1777.000000	1776.000000	1776.000000	1795.000000	1807.000000
57		1733.000000	1777.000000	1777.000000	1777.000000	1777.000000	1776.000000	1780.000000	1798.000000
60		1733.000000	1777.000000	1777.000000	1777.000000	1777.000000	1776.000000	1776.000000	1786.000000
63		1733.000000	1777.000000	1777.000000	1777.000000	1777.000000	1776.000000	1776.000000	1776.000000
66		1733.000000	1776.000000	1777.000000	1777.000000	1777.000000	1776.000000	1776.000000	1776.000000
69		1733.000000	1771.000000	1777.000000	1771.000000	1773.000000	1776.000000	1776.000000	1771.000000
72		1733.000000	1771.000000	1770.000000	1767.000000	1768.000000	1769.000000	1768.000000	1764.000000
75		1733.000000	1764.000000	1763.000000	1762.000000	1763.000000	1762.000000	1762.000000	1760.000000
78		1733.000000	1761.000000	1759.000000	1758.000000	1759.000000	1761.000000	1760.000000	1760.000000
81		1733.000000	1758.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
84		1733.000000	1755.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
87		1733.000000	1755.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
90		1733.000000	1755.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
93		1733.000000	1755.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
96		1733.000000	1755.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
99		1733.000000	1755.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
102		1733.000000	1755.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
105		1733.000000	1755.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
108		1733.000000	1755.000000	1758.000000	1757.000000	1758.000000	1757.000000	1757.000000	1760.000000
