x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
2		0.031629	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081	0.000077
5		0.009064	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081
8		0.001809	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081
11		0.010954	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081
14		0.000131	0.000081	0.000077	0.000081	0.000081	0.000081	0.000081	0.000081
17		0.002176	0.000081	0.000077	0.000081	0.000081	0.000081	0.000081	0.000081
20		0.004522	0.005666	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081
23		0.000078	0.009824	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081
26		0.000082	0.000520	0.005760	0.000081	0.000081	0.000081	0.000081	0.000081
29		0.000405	0.000241	0.001973	0.000081	0.000081	0.000081	0.000081	0.000081
32		0.029922	0.010089	0.005335	0.005765	0.000081	0.000081	0.000081	0.000081
35		0.000081	0.000081	0.000081	0.009462	0.000081	0.000081	0.000081	0.000077
38		0.000081	0.001904	0.012076	0.000081	0.005765	0.000081	0.000081	0.000081
41		0.000081	0.000082	0.000081	0.000722	0.011129	0.005765	0.000077	0.000081
44		0.000081	0.000081	0.000081	0.011387	0.000081	0.011679	0.000081	0.000081
47		0.000081	0.000081	0.000081	0.000081	0.000722	0.000646	0.005666	0.000081
50		0.000081	0.000081	0.000081	0.000081	0.011387	0.000646	0.006539	0.000081
53		0.000081	0.000081	0.000081	0.000081	0.000081	0.000077	0.000180	0.005761
56		0.000081	0.000081	0.000081	0.000081	0.000081	0.012027	0.000180	0.003328
59		0.000081	0.000081	0.000081	0.000081	0.000081	0.000081	0.000241	0.001406
62		0.000081	0.000081	0.000081	0.000081	0.000081	0.000081	0.011863	0.000081
65		0.000081	0.000081	0.000081	0.000081	0.000081	0.000081	0.000081	0.012076
68		0.000081	0.001180	0.001180	0.000081	0.000081	0.000081	0.000081	0.000081
71		0.000081	0.000485	0.000485	0.001534	0.000484	0.000081	0.000081	0.000484
74		0.000081	0.000485	0.000078	0.000132	0.000077	0.000484	0.000484	0.000082
77		0.000081	0.000082	0.000082	0.000082	0.001180	0.000082	0.000082	0.000081
