x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
0		1652.000000	1664.000000	1665.000000	1664.000000	1665.000000	1665.000000	1664.000000	1612.000000
1		1650.000000	1664.000000	1665.000000	1664.000000	1665.000000	1665.000000	1664.000000	1664.000000
2		1649.000000	1664.000000	1665.000000	1664.000000	1665.000000	1665.000000	1664.000000	1664.000000
3		1644.000000	1664.000000	1665.000000	1664.000000	1665.000000	1665.000000	1664.000000	1664.000000
4		1638.000000	1664.000000	1665.000000	1664.000000	1665.000000	1665.000000	1664.000000	1664.000000
5		1632.000000	1664.000000	1665.000000	1664.000000	1665.000000	1665.000000	1664.000000	1664.000000
6		1625.000000	1664.000000	1665.000000	1664.000000	1665.000000	1665.000000	1664.000000	1664.000000
7		1613.000000	1663.000000	1665.000000	1664.000000	1665.000000	1665.000000	1664.000000	1664.000000
8		1602.000000	1656.000000	1658.000000	1664.000000	1665.000000	1665.000000	1664.000000	1664.000000
9		1591.000000	1643.000000	1661.000000	1664.000000	1665.000000	1665.000000	1664.000000	1664.000000
10		1584.000000	1640.000000	1651.000000	1662.000000	1665.000000	1665.000000	1664.000000	1664.000000
11		1584.000000	1640.000000	1640.000000	1661.000000	1664.000000	1665.000000	1664.000000	1664.000000
12		1584.000000	1640.000000	1640.000000	1648.000000	1662.000000	1665.000000	1664.000000	1664.000000
13		1584.000000	1640.000000	1640.000000	1640.000000	1656.000000	1663.000000	1664.000000	1664.000000
14		1581.000000	1641.000000	1640.000000	1640.000000	1641.000000	1662.000000	1664.000000	1664.000000
15		1581.000000	1641.000000	1640.000000	1640.000000	1641.000000	1648.000000	1662.000000	1664.000000
16		1581.000000	1641.000000	1641.000000	1640.000000	1641.000000	1641.000000	1659.000000	1659.000000
17		1581.000000	1641.000000	1641.000000	1640.000000	1641.000000	1641.000000	1647.000000	1661.000000
18		1581.000000	1641.000000	1641.000000	1640.000000	1641.000000	1641.000000	1639.000000	1653.000000
19		1573.000000	1641.000000	1641.000000	1640.000000	1641.000000	1641.000000	1639.000000	1640.000000
20		1573.000000	1641.000000	1641.000000	1640.000000	1641.000000	1641.000000	1639.000000	1640.000000
21		1573.000000	1641.000000	1641.000000	1640.000000	1641.000000	1641.000000	1639.000000	1640.000000
22		1573.000000	1641.000000	1641.000000	1640.000000	1641.000000	1641.000000	1639.000000	1640.000000
23		1569.000000	1641.000000	1641.000000	1640.000000	1641.000000	1641.000000	1639.000000	1640.000000
24		1563.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1640.000000
25		1550.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1640.000000
26		1534.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1640.000000
27		1510.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1640.000000
28		1473.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1640.000000
29		1453.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1640.000000
30		1451.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1639.000000
31		1448.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1639.000000
32		1444.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1639.000000
33		1436.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1639.000000
34		1432.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1639.000000
35		1428.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1639.000000
36		1420.000000	1641.000000	1641.000000	1640.000000	1642.000000	1641.000000	1640.000000	1639.000000
37		1406.000000	1635.000000	1635.000000	1634.000000	1636.000000	1641.000000	1633.000000	1634.000000
38		1395.000000	1631.000000	1632.000000	1630.000000	1631.000000	1635.000000	1629.000000	1631.000000
39		1390.000000	1627.000000	1628.000000	1625.000000	1627.000000	1631.000000	1625.000000	1627.000000
40		1388.000000	1626.000000	1624.000000	1622.000000	1626.000000	1624.000000	1625.000000	1625.000000
41		1387.000000	1626.000000	1624.000000	1622.000000	1626.000000	1624.000000	1624.000000	1623.000000
42		1386.000000	1626.000000	1623.000000	1622.000000	1625.000000	1624.000000	1624.000000	1623.000000
43		1386.000000	1626.000000	1623.000000	1621.000000	1625.000000	1624.000000	1624.000000	1623.000000
44		1384.000000	1626.000000	1623.000000	1621.000000	1625.000000	1624.000000	1624.000000	1623.000000
45		1384.000000	1625.000000	1622.000000	1621.000000	1624.000000	1624.000000	1624.000000	1622.000000
46		1384.000000	1625.000000	1622.000000	1621.000000	1624.000000	1623.000000	1623.000000	1623.000000
47		1376.000000	1625.000000	1622.000000	1618.000000	1621.000000	1620.000000	1620.000000	1623.000000
48		1373.000000	1621.000000	1619.000000	1618.000000	1621.000000	1620.000000	1620.000000	1619.000000
49		1362.000000	1621.000000	1619.000000	1618.000000	1621.000000	1620.000000	1620.000000	1619.000000
50		1318.000000	1621.000000	1619.000000	1618.000000	1621.000000	1620.000000	1620.000000	1619.000000
51		1314.000000	1620.000000	1617.000000	1616.000000	1619.000000	1620.000000	1620.000000	1620.000000
52		1311.000000	1615.000000	1615.000000	1615.000000	1615.000000	1614.000000	1614.000000	1617.000000
53		1311.000000	1613.000000	1612.000000	1612.000000	1613.000000	1608.000000	1612.000000	1614.000000
54		1307.000000	1613.000000	1611.000000	1612.000000	1613.000000	1608.000000	1610.000000	1613.000000
55		1307.000000	1609.000000	1611.000000	1609.000000	1613.000000	1605.000000	1606.000000	1611.000000
56		1307.000000	1606.000000	1606.000000	1606.000000	1610.000000	1601.000000	1600.000000	1607.000000
57		1304.000000	1601.000000	1601.000000	1602.000000	1607.000000	1595.000000	1597.000000	1602.000000
58		1301.000000	1598.000000	1597.000000	1598.000000	1603.000000	1589.000000	1591.000000	1599.000000
59		1299.000000	1597.000000	1593.000000	1595.000000	1599.000000	1583.000000	1585.000000	1597.000000
60		1296.000000	1593.000000	1590.000000	1591.000000	1596.000000	1579.000000	1581.000000	1593.000000
61		1295.000000	1591.000000	1588.000000	1587.000000	1591.000000	1579.000000	1581.000000	1592.000000
62		1292.000000	1588.000000	1585.000000	1586.000000	1588.000000	1579.000000	1581.000000	1590.000000
63		1289.000000	1586.000000	1582.000000	1584.000000	1586.000000	1579.000000	1581.000000	1586.000000
64		1284.000000	1586.000000	1584.000000	1582.000000	1584.000000	1579.000000	1584.000000	1584.000000
65		1279.000000	1585.000000	1584.000000	1581.000000	1584.000000	1579.000000	1584.000000	1584.000000
66		1276.000000	1585.000000	1584.000000	1584.000000	1584.000000	1579.000000	1584.000000	1584.000000
67		1264.000000	1585.000000	1584.000000	1584.000000	1584.000000	1582.000000	1584.000000	1584.000000
68		1242.000000	1579.000000	1584.000000	1584.000000	1584.000000	1582.000000	1584.000000	1584.000000
69		1242.000000	1549.000000	1578.000000	1584.000000	1584.000000	1582.000000	1584.000000	1584.000000
70		1242.000000	1549.000000	1548.000000	1577.000000	1578.000000	1582.000000	1584.000000	1584.000000
71		1246.000000	1549.000000	1548.000000	1553.000000	1548.000000	1582.000000	1578.000000	1577.000000
72		1246.000000	1549.000000	1548.000000	1553.000000	1548.000000	1542.000000	1553.000000	1544.000000
73		1245.000000	1538.000000	1537.000000	1520.000000	1547.000000	1541.000000	1552.000000	1535.000000
74		1238.000000	1452.000000	1425.000000	1454.000000	1481.000000	1469.000000	1479.000000	1451.000000
75		1150.000000	1313.000000	1316.000000	1304.000000	1336.000000	1263.000000	1252.000000	1325.000000
76		990.000000	1155.000000	1316.000000	1178.000000	1182.000000	1134.000000	1133.000000	1325.000000
77		941.000000	976.000000	1316.000000	1105.000000	972.000000	995.000000	1117.000000	1325.000000
78		937.000000	815.000000	1316.000000	885.000000	972.000000	995.000000	1109.000000	1324.000000
79		934.000000	796.000000	1316.000000	867.000000	972.000000	995.000000	1102.000000	1324.000000
80		930.000000	796.000000	1266.000000	867.000000	972.000000	995.000000	1093.000000	1324.000000
81		925.000000	796.000000	1262.000000	865.000000	971.000000	994.000000	933.000000	1314.000000
82		918.000000	795.000000	1219.000000	819.000000	971.000000	994.000000	933.000000	1265.000000
83		904.000000	795.000000	1219.000000	662.000000	971.000000	994.000000	933.000000	1265.000000
84		889.000000	795.000000	1219.000000	662.000000	971.000000	994.000000	933.000000	1264.000000
85		788.000000	795.000000	1219.000000	662.000000	928.000000	934.000000	932.000000	1218.000000
86		788.000000	775.000000	1161.000000	662.000000	924.000000	934.000000	912.000000	1218.000000
87		783.000000	724.000000	1161.000000	662.000000	895.000000	929.000000	912.000000	1218.000000
88		783.000000	621.000000	1161.000000	653.000000	896.000000	892.000000	912.000000	1218.000000
89		783.000000	621.000000	1161.000000	620.000000	862.000000	841.000000	898.000000	1218.000000
90		783.000000	621.000000	1161.000000	604.000000	821.000000	841.000000	851.000000	1188.000000
91		764.000000	621.000000	1161.000000	604.000000	820.000000	825.000000	854.000000	1160.000000
92		744.000000	621.000000	1161.000000	588.000000	821.000000	763.000000	854.000000	1160.000000
93		744.000000	605.000000	1161.000000	588.000000	821.000000	716.000000	854.000000	1160.000000
94		744.000000	605.000000	1161.000000	588.000000	821.000000	706.000000	854.000000	1160.000000
95		744.000000	605.000000	1161.000000	567.000000	821.000000	706.000000	854.000000	1160.000000
96		744.000000	605.000000	1161.000000	567.000000	821.000000	706.000000	854.000000	1160.000000
97		744.000000	605.000000	1161.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
98		744.000000	605.000000	1161.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
99		724.000000	606.000000	1161.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
100		716.000000	606.000000	1161.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
101		714.000000	606.000000	1161.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
102		843.000000	606.000000	1161.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
103		844.000000	606.000000	1161.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
104		842.000000	604.000000	1161.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
105		845.000000	606.000000	1161.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
106		845.000000	606.000000	1159.000000	567.000000	789.000000	706.000000	854.000000	1160.000000
107		845.000000	606.000000	1160.000000	554.000000	789.000000	706.000000	854.000000	1160.000000
108		845.000000	606.000000	1160.000000	563.000000	789.000000	706.000000	854.000000	1160.000000
109		845.000000	606.000000	1160.000000	567.000000	785.000000	706.000000	854.000000	1160.000000
110		845.000000	606.000000	1160.000000	567.000000	788.000000	704.000000	854.000000	1160.000000
111		845.000000	606.000000	1160.000000	567.000000	788.000000	705.000000	852.000000	1160.000000
112		845.000000	606.000000	1160.000000	567.000000	788.000000	705.000000	853.000000	1160.000000
113		845.000000	606.000000	1160.000000	567.000000	788.000000	705.000000	853.000000	1149.000000
114		845.000000	606.000000	1160.000000	567.000000	788.000000	705.000000	853.000000	1156.000000
115		842.000000	606.000000	1160.000000	567.000000	788.000000	705.000000	853.000000	1160.000000
116		831.000000	606.000000	1160.000000	567.000000	788.000000	705.000000	853.000000	1160.000000
117		850.000000	606.000000	1160.000000	567.000000	788.000000	705.000000	853.000000	1160.000000
118		850.000000	604.000000	1160.000000	567.000000	788.000000	705.000000	853.000000	1160.000000
119		850.000000	611.000000	1159.000000	567.000000	788.000000	705.000000	853.000000	1160.000000
120		850.000000	611.000000	1155.000000	567.000000	788.000000	705.000000	853.000000	1160.000000
121		850.000000	611.000000	1166.000000	565.000000	788.000000	705.000000	853.000000	1160.000000
122		850.000000	611.000000	1166.000000	564.000000	784.000000	705.000000	853.000000	1160.000000
123		850.000000	611.000000	1166.000000	572.000000	785.000000	705.000000	853.000000	1160.000000
124		850.000000	611.000000	1166.000000	572.000000	793.000000	695.000000	853.000000	1160.000000
125		850.000000	611.000000	1166.000000	572.000000	793.000000	702.000000	853.000000	1160.000000
126		850.000000	611.000000	1166.000000	572.000000	793.000000	710.000000	841.000000	1160.000000
127		850.000000	611.000000	1166.000000	572.000000	793.000000	710.000000	849.000000	1159.000000
128		850.000000	611.000000	1166.000000	572.000000	793.000000	710.000000	858.000000	1157.000000
