x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
2		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
5		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
8		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
11		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
14		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
17		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
20		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
23		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
26		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
29		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
32		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
35		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
38		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
41		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
44		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
47		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
50		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
53		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
56		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
59		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
62		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
65		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
68		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
71		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
74		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
77		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
80		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
83		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
86		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
89		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
92		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
95		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
98		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
