x	"CC"	"NC0"	"NC1"
0		6518.000000	2312.000000	2313.000000
1		6508.000000	2309.000000	2313.000000
2		6496.000000	2307.000000	2313.000000
3		6477.000000	2290.000000	2308.000000
4		6469.000000	2289.000000	2302.000000
5		6467.000000	2289.000000	2290.000000
6		6467.000000	2289.000000	2290.000000
7		6467.000000	2289.000000	2290.000000
8		6467.000000	2289.000000	2290.000000
9		6467.000000	2289.000000	2290.000000
10		6466.000000	2289.000000	2290.000000
11		6461.000000	2289.000000	2290.000000
12		6437.000000	2289.000000	2290.000000
13		6419.000000	2285.000000	2283.000000
14		6418.000000	2275.000000	2270.000000
15		6418.000000	2268.000000	2305.000000
16		6417.000000	2303.000000	2301.000000
17		6417.000000	2279.000000	2284.000000
18		6417.000000	2261.000000	2255.000000
19		6414.000000	2255.000000	2255.000000
20		6414.000000	2251.000000	2255.000000
21		6417.000000	2254.000000	2251.000000
22		6417.000000	2254.000000	2255.000000
23		6414.000000	2254.000000	2255.000000
24		6412.000000	2254.000000	2255.000000
25		6417.000000	2250.000000	2255.000000
26		6417.000000	2255.000000	2250.000000
27		6416.000000	2255.000000	2255.000000
28		6414.000000	2250.000000	2254.000000
29		6414.000000	2255.000000	2251.000000
30		6411.000000	2255.000000	2255.000000
31		6409.000000	2253.000000	2254.000000
32		6409.000000	2253.000000	2254.000000
33		6478.000000	2253.000000	2254.000000
34		6482.000000	2250.000000	2254.000000
35		6482.000000	2250.000000	2255.000000
36		6482.000000	2306.000000	2255.000000
37		6482.000000	2312.000000	2252.000000
38		6482.000000	2312.000000	2252.000000
39		6482.000000	2312.000000	2308.000000
40		6479.000000	2312.000000	2312.000000
41		6459.000000	2302.000000	2311.000000
42		6456.000000	2308.000000	2308.000000
43		6450.000000	2303.000000	2308.000000
44		6434.000000	2297.000000	2306.000000
45		6413.000000	2285.000000	2304.000000
46		6411.000000	2285.000000	2289.000000
47		6408.000000	2285.000000	2286.000000
48		6408.000000	2285.000000	2286.000000
49		6408.000000	2285.000000	2286.000000
50		6408.000000	2285.000000	2286.000000
51		6408.000000	2285.000000	2286.000000
52		6408.000000	2285.000000	2286.000000
53		6408.000000	2285.000000	2286.000000
54		6408.000000	2285.000000	2286.000000
55		6408.000000	2285.000000	2286.000000
