x	"CC"	"NC0"	"NC1"
0		6456.000000	2308.000000	2308.000000
1		6455.000000	2304.000000	2308.000000
2		6438.000000	2303.000000	2308.000000
3		6422.000000	2288.000000	2304.000000
4		6411.000000	2285.000000	2298.000000
5		6409.000000	2285.000000	2286.000000
6		6411.000000	2285.000000	2286.000000
7		6408.000000	2285.000000	2286.000000
8		6408.000000	2285.000000	2286.000000
9		6408.000000	2285.000000	2286.000000
10		6408.000000	2285.000000	2286.000000
11		6408.000000	2285.000000	2286.000000
12		6408.000000	2285.000000	2286.000000
13		6408.000000	2285.000000	2286.000000
14		6408.000000	2285.000000	2286.000000
15		6407.000000	2285.000000	2286.000000
16		6407.000000	2285.000000	2286.000000
17		6408.000000	2285.000000	2286.000000
18		6408.000000	2285.000000	2286.000000
19		6408.000000	2285.000000	2286.000000
20		6402.000000	2285.000000	2286.000000
21		6399.000000	2285.000000	2286.000000
22		6384.000000	2285.000000	2286.000000
23		6316.000000	2285.000000	2286.000000
24		6290.000000	2285.000000	2286.000000
25		6289.000000	2285.000000	2286.000000
26		6283.000000	2285.000000	2286.000000
27		6265.000000	2277.000000	2271.000000
28		6265.000000	2264.000000	2264.000000
29		6231.000000	2263.000000	2264.000000
30		6181.000000	2258.000000	2257.000000
31		6181.000000	2258.000000	2256.000000
32		6181.000000	2255.000000	2253.000000
33		6181.000000	2248.000000	2244.000000
34		6181.000000	2241.000000	2236.000000
35		6181.000000	2236.000000	2228.000000
36		6181.000000	2230.000000	2228.000000
37		6178.000000	2225.000000	2228.000000
38		6162.000000	2202.000000	2228.000000
39		6164.000000	2183.000000	2222.000000
40		6162.000000	2183.000000	2169.000000
41		6161.000000	2030.000000	1851.000000
42		6162.000000	1798.000000	1717.000000
43		6162.000000	1796.000000	1704.000000
44		6162.000000	1779.000000	1572.000000
45		6162.000000	1729.000000	1522.000000
46		6162.000000	1609.000000	1501.000000
47		6162.000000	1583.000000	1485.000000
48		6162.000000	1567.000000	1437.000000
49		6162.000000	1539.000000	1437.000000
50		6162.000000	1539.000000	1410.000000
51		6162.000000	1539.000000	1410.000000
52		6151.000000	1539.000000	1410.000000
53		6121.000000	1539.000000	1410.000000
54		6120.000000	1539.000000	1410.000000
55		6284.000000	1539.000000	1410.000000
56		6282.000000	1539.000000	1410.000000
57		6286.000000	1535.000000	1409.000000
58		6286.000000	1539.000000	1405.000000
59		6285.000000	1539.000000	1409.000000
60		6279.000000	1539.000000	1409.000000
61		6282.000000	1536.000000	1409.000000
62		6283.000000	1539.000000	1407.000000
63		6283.000000	1539.000000	1402.000000
64		6282.000000	1539.000000	1410.000000
65		6279.000000	1539.000000	1410.000000
66		6279.000000	1539.000000	1410.000000
67		6432.000000	1539.000000	1410.000000
68		6436.000000	1535.000000	1410.000000
69		6436.000000	1535.000000	1410.000000
70		6436.000000	2302.000000	1410.000000
71		6436.000000	2306.000000	1406.000000
72		6436.000000	2306.000000	1406.000000
73		6436.000000	2306.000000	2303.000000
74		6434.000000	2306.000000	2307.000000
75		6419.000000	2302.000000	2296.000000
76		6414.000000	2302.000000	2303.000000
77		6406.000000	2302.000000	2303.000000
78		6389.000000	2302.000000	2303.000000
79		6366.000000	2302.000000	2303.000000
80		6355.000000	2302.000000	2303.000000
81		6332.000000	2302.000000	2303.000000
82		6308.000000	2302.000000	2303.000000
83		6294.000000	2298.000000	2303.000000
84		6271.000000	2289.000000	2303.000000
85		6251.000000	2284.000000	2303.000000
86		6248.000000	2276.000000	2303.000000
87		6248.000000	2271.000000	2303.000000
88		6247.000000	2264.000000	2303.000000
89		6247.000000	2251.000000	2303.000000
90		6247.000000	2236.000000	2300.000000
91		6247.000000	2224.000000	2298.000000
92		6247.000000	2209.000000	2288.000000
93		6247.000000	2178.000000	2285.000000
94		6248.000000	2161.000000	2281.000000
95		6247.000000	2145.000000	2277.000000
96		6248.000000	2131.000000	2274.000000
97		6242.000000	2112.000000	2266.000000
98		6242.000000	2108.000000	2254.000000
99		6242.000000	2106.000000	2234.000000
100		6240.000000	2106.000000	2214.000000
101		6240.000000	2106.000000	2201.000000
102		6240.000000	2106.000000	2172.000000
103		6240.000000	2106.000000	2157.000000
104		6239.000000	2106.000000	2136.000000
105		6237.000000	2106.000000	2114.000000
106		6232.000000	2106.000000	2110.000000
107		6212.000000	2106.000000	2108.000000
108		6146.000000	2106.000000	2108.000000
109		6134.000000	2106.000000	2108.000000
110		6124.000000	2106.000000	2108.000000
111		6104.000000	2106.000000	2108.000000
112		6076.000000	2106.000000	2108.000000
113		6072.000000	2106.000000	2108.000000
114		6065.000000	2106.000000	2108.000000
115		6046.000000	2106.000000	2108.000000
116		6042.000000	2106.000000	2108.000000
117		6037.000000	2106.000000	2108.000000
118		6034.000000	2104.000000	2106.000000
119		6027.000000	2089.000000	2086.000000
120		6228.000000	2103.000000	2106.000000
121		6217.000000	2103.000000	2106.000000
