x	"CC"	"NC0"	"NC1"
0		6425.000000	2302.000000	2303.000000
1		6412.000000	2302.000000	2303.000000
2		6402.000000	2302.000000	2303.000000
3		6378.000000	2302.000000	2303.000000
4		6366.000000	2302.000000	2303.000000
5		6348.000000	2302.000000	2303.000000
6		6328.000000	2302.000000	2303.000000
7		6302.000000	2298.000000	2303.000000
8		6285.000000	2298.000000	2303.000000
9		6263.000000	2287.000000	2303.000000
10		6251.000000	2284.000000	2303.000000
11		6248.000000	2275.000000	2303.000000
12		6248.000000	2271.000000	2303.000000
13		6247.000000	2264.000000	2303.000000
14		6247.000000	2245.000000	2303.000000
15		6247.000000	2232.000000	2294.000000
16		6247.000000	2222.000000	2294.000000
17		6247.000000	2200.000000	2288.000000
18		6247.000000	2175.000000	2284.000000
19		6248.000000	2160.000000	2280.000000
20		6248.000000	2145.000000	2277.000000
21		6248.000000	2131.000000	2274.000000
22		6242.000000	2112.000000	2266.000000
23		6242.000000	2108.000000	2255.000000
24		6242.000000	2106.000000	2235.000000
25		6240.000000	2106.000000	2215.000000
26		6239.000000	2106.000000	2202.000000
27		6240.000000	2106.000000	2173.000000
28		6240.000000	2106.000000	2157.000000
29		6240.000000	2106.000000	2137.000000
30		6239.000000	2106.000000	2114.000000
31		6231.000000	2106.000000	2111.000000
32		6217.000000	2106.000000	2108.000000
33		6149.000000	2106.000000	2108.000000
34		6134.000000	2106.000000	2108.000000
35		6128.000000	2106.000000	2108.000000
36		6104.000000	2106.000000	2108.000000
37		6077.000000	2106.000000	2108.000000
38		6073.000000	2106.000000	2108.000000
39		6066.000000	2106.000000	2108.000000
40		6048.000000	2106.000000	2108.000000
41		6045.000000	2106.000000	2108.000000
42		6039.000000	2106.000000	2108.000000
43		6036.000000	2106.000000	2108.000000
44		6031.000000	2096.000000	2094.000000
45		6027.000000	2079.000000	2106.000000
46		6224.000000	2103.000000	2106.000000
