x	"NC0"
0		2795.000000
1		2793.000000
2		2789.000000
3		2789.000000
4		2785.000000
5		2782.000000
6		2778.000000
7		2775.000000
8		2774.000000
9		2774.000000
10		2770.000000
11		2769.000000
12		2768.000000
13		2767.000000
14		2767.000000
15		2766.000000
16		2764.000000
17		2764.000000
18		2763.000000
19		2763.000000
20		2763.000000
21		2762.000000
22		2761.000000
23		2760.000000
24		2759.000000
25		2759.000000
26		2758.000000
27		2756.000000
28		2755.000000
29		2752.000000
30		2752.000000
31		2751.000000
32		2751.000000
33		2751.000000
34		2750.000000
35		2750.000000
36		2750.000000
37		2750.000000
38		2750.000000
39		2749.000000
40		2749.000000
41		2749.000000
42		2748.000000
43		2748.000000
44		2748.000000
45		2747.000000
46		2747.000000
47		2745.000000
48		2743.000000
49		2738.000000
50		2734.000000
51		2732.000000
52		2728.000000
53		2722.000000
54		2715.000000
55		2713.000000
56		2713.000000
57		2711.000000
58		2710.000000
59		2709.000000
60		2708.000000
61		2703.000000
62		2703.000000
63		2703.000000
64		2703.000000
65		2703.000000
66		2703.000000
67		2703.000000
68		2703.000000
69		2703.000000
70		2703.000000
71		2703.000000
72		2703.000000
73		2703.000000
74		2703.000000
75		2703.000000
76		2703.000000
77		2703.000000
78		2703.000000
79		2703.000000
80		2703.000000
81		2703.000000
82		2703.000000
83		2703.000000
84		2703.000000
85		2703.000000
86		2703.000000
87		2703.000000
88		2703.000000
89		2703.000000
90		2703.000000
91		2703.000000
92		2703.000000
93		2703.000000
94		2703.000000
95		2703.000000
96		2703.000000
97		2704.000000
98		2704.000000
99		2704.000000
100		2704.000000
101		2704.000000
102		2704.000000
103		2704.000000
104		2704.000000
105		2704.000000
106		2704.000000
107		2704.000000
108		2704.000000
109		2704.000000
110		2704.000000
111		2704.000000
112		2704.000000
113		2704.000000
114		2704.000000
115		2704.000000
116		2704.000000
117		2704.000000
118		2704.000000
119		2704.000000
120		2704.000000
121		2704.000000
122		2704.000000
123		2704.000000
124		2704.000000
125		2704.000000
126		2704.000000
127		2704.000000
128		2704.000000
129		2704.000000
130		2704.000000
131		2704.000000
132		2704.000000
133		2704.000000
134		2704.000000
135		2704.000000
136		2704.000000
137		2704.000000
138		2704.000000
139		2704.000000
140		2704.000000
141		2704.000000
142		2704.000000
143		2704.000000
144		2704.000000
145		2704.000000
146		2704.000000
147		2704.000000
148		2704.000000
149		2704.000000
150		2704.000000
151		2704.000000
152		2704.000000
153		2700.000000
154		2693.000000
155		2702.000000
156		2701.000000
157		2699.000000
158		2700.000000
159		2700.000000
160		2700.000000
161		2700.000000
162		2700.000000
163		2700.000000
164		2700.000000
165		2700.000000
166		2700.000000
167		2700.000000
168		2703.000000
169		2703.000000
170		2703.000000
