x	"NC0"
0		213.500000
1		213.500000
2		213.500000
3		213.200000
4		213.300000
5		212.700000
6		212.100000
7		211.700000
8		212.600000
9		212.500000
10		212.200000
11		212.000000
12		211.700000
13		211.500000
14		211.400000
15		211.100000
16		210.800000
17		210.800000
18		210.400000
19		209.900000
20		209.700000
21		209.500000
22		209.400000
23		209.300000
24		209.000000
25		208.800000
26		208.300000
27		208.000000
28		207.300000
29		207.200000
30		207.200000
31		207.200000
32		207.200000
33		207.200000
34		207.200000
35		207.200000
36		207.200000
37		207.200000
38		207.200000
39		207.200000
40		207.200000
41		207.200000
42		207.200000
43		207.200000
44		207.200000
45		207.200000
46		207.200000
47		207.200000
48		207.200000
49		207.200000
50		207.200000
51		207.200000
52		207.200000
53		207.200000
54		207.200000
55		207.200000
56		207.200000
57		207.200000
58		207.200000
59		207.200000
60		207.200000
61		207.200000
62		207.200000
63		207.200000
64		207.200000
65		207.200000
66		207.200000
67		207.100000
68		206.900000
69		206.400000
70		205.800000
71		206.900000
72		206.900000
73		206.800000
74		206.700000
75		206.700000
76		206.100000
77		205.700000
78		205.100000
79		204.700000
80		204.100000
81		203.500000
82		203.300000
83		202.000000
84		200.400000
85		198.500000
86		198.500000
87		198.500000
88		198.400000
89		196.500000
90		196.500000
91		196.500000
92		196.400000
93		196.400000
94		196.400000
95		196.300000
96		196.200000
97		196.000000
98		195.600000
99		195.600000
100		195.500000
101		195.500000
102		195.400000
103		195.100000
104		195.000000
105		194.600000
106		194.300000
107		194.200000
108		193.900000
109		193.400000
110		193.400000
111		193.400000
112		193.300000
113		193.300000
114		193.200000
115		193.200000
116		193.100000
117		192.700000
118		192.500000
119		191.400000
120		189.800000
121		189.300000
122		188.400000
123		188.300000
124		188.200000
125		188.100000
126		187.700000
127		187.600000
128		187.700000
129		187.700000
130		187.500000
131		187.500000
132		187.500000
133		187.200000
134		187.200000
135		187.200000
136		187.000000
137		187.000000
138		187.000000
139		186.800000
140		186.800000
141		186.800000
142		186.700000
143		186.700000
144		186.500000
145		186.400000
146		186.300000
147		186.100000
148		186.000000
149		185.900000
150		185.800000
151		185.600000
152		185.500000
153		185.400000
154		185.300000
155		185.100000
156		185.000000
157		184.900000
158		184.800000
159		184.700000
160		184.500000
161		184.400000
162		184.300000
163		184.300000
164		184.200000
165		183.800000
166		182.800000
167		181.100000
168		181.100000
169		180.400000
170		180.400000
171		179.000000
172		180.200000
173		178.700000
174		176.500000
175		166.600000
176		164.700000
177		155.700000
178		152.500000
179		142.000000
180		139.700000
181		132.400000
182		122.300000
183		109.000000
184		100.800000
185		100.800000
186		100.800000
187		99.100000
188		99.200000
189		99.200000
190		99.200000
191		99.100000
192		99.200000
193		99.200000
194		99.100000
195		99.100000
196		99.100000
197		99.100000
198		99.100000
199		99.100000
200		99.100000
201		99.000000
202		98.400000
203		96.800000
204		96.800000
205		96.800000
206		96.800000
207		96.800000
208		96.800000
209		96.800000
210		95.200000
211		95.200000
212		95.200000
213		95.200000
214		95.200000
215		95.200000
216		95.200000
217		93.900000
218		92.900000
219		92.900000
220		92.900000
221		89.800000
222		89.800000
223		89.800000
224		89.000000
225		88.700000
226		89.400000
227		89.400000
228		89.100000
229		89.100000
230		88.200000
231		89.000000
232		89.000000
233		89.000000
234		87.400000
235		88.500000
236		88.400000
237		87.300000
238		87.300000
239		87.300000
240		87.000000
241		86.800000
242		86.500000
243		84.200000
244		84.100000
245		84.000000
246		83.900000
247		83.600000
248		83.500000
249		83.300000
250		81.300000
251		81.300000
252		81.000000
253		80.700000
254		80.600000
255		80.500000
256		80.200000
257		80.100000
258		79.900000
259		79.600000
260		79.500000
261		79.200000
262		79.000000
263		78.900000
264		78.700000
265		78.500000
266		78.300000
267		78.100000
268		77.900000
269		77.700000
270		77.500000
271		77.300000
272		77.100000
273		76.900000
274		76.700000
275		76.500000
276		76.400000
277		76.100000
278		76.000000
279		76.000000
280		75.800000
281		75.600000
282		75.600000
283		75.500000
284		75.300000
285		75.200000
286		75.000000
287		74.900000
288		74.700000
289		74.600000
290		74.500000
291		74.300000
292		74.200000
293		74.000000
294		73.900000
295		73.800000
296		73.600000
297		73.400000
298		73.400000
299		73.200000
300		73.100000
301		72.900000
302		72.800000
303		72.600000
304		72.500000
305		72.300000
306		72.200000
307		72.000000
308		71.900000
309		71.800000
310		71.700000
311		71.500000
312		71.400000
313		71.200000
314		71.100000
315		71.000000
316		70.800000
317		70.700000
318		70.600000
319		70.400000
320		70.200000
321		70.200000
322		70.000000
323		68.800000
324		70.100000
325		70.100000
326		70.100000
327		70.100000
328		70.100000
329		68.500000
330		59.500000
331		59.500000
332		59.500000
333		57.900000
334		56.300000
335		54.700000
336		54.600000
337		54.600000
338		54.600000
339		54.600000
340		54.600000
341		54.600000
342		54.600000
343		54.600000
344		54.600000
345		54.600000
346		54.600000
347		54.600000
348		54.600000
349		54.600000
350		54.600000
351		54.600000
352		54.600000
353		54.600000
354		54.600000
355		54.600000
356		54.600000
357		54.600000
358		54.600000
359		54.600000
360		54.600000
361		54.600000
362		54.600000
363		54.600000
364		54.600000
365		54.600000
366		54.600000
367		54.600000
368		54.600000
369		54.600000
370		54.600000
371		54.600000
372		54.600000
373		54.600000
374		54.600000
375		54.600000
376		54.600000
377		54.700000
378		54.700000
379		54.700000
380		54.700000
381		54.700000
382		54.700000
383		54.700000
384		54.700000
385		54.700000
386		54.700000
387		54.700000
388		54.700000
389		54.700000
390		54.700000
391		54.700000
392		54.700000
393		54.700000
394		54.700000
395		54.700000
396		54.700000
397		54.600000
398		54.700000
399		54.600000
400		54.700000
401		54.700000
402		54.300000
403		54.600000
404		53.300000
405		54.600000
406		54.400000
407		54.200000
408		53.300000
409		53.900000
410		53.900000
411		53.900000
