x	"NC0"
0		19.640000
1		19.630000
2		19.570000
3		19.530000
4		19.470000
5		19.440000
6		19.410000
7		19.370000
8		19.340000
9		19.280000
10		19.230000
11		19.170000
12		19.130000
13		19.040000
14		19.010000
15		19.000000
16		18.980000
17		18.930000
18		18.870000
19		18.840000
20		18.810000
21		18.730000
22		18.740000
23		18.680000
24		18.630000
25		18.560000
26		18.640000
27		18.620000
28		18.590000
29		18.530000
30		18.500000
31		18.470000
32		18.380000
33		18.310000
34		18.260000
35		18.230000
36		18.150000
37		18.110000
38		18.050000
39		18.000000
40		17.960000
41		17.900000
42		17.880000
43		17.830000
44		17.770000
45		17.730000
46		17.610000
47		17.580000
48		17.560000
49		17.550000
50		17.500000
51		17.470000
52		17.490000
53		17.470000
54		17.430000
55		17.410000
56		17.370000
57		17.330000
58		17.310000
59		17.300000
60		17.290000
61		17.280000
62		17.270000
63		17.250000
64		17.240000
65		17.220000
66		17.190000
67		17.160000
68		17.130000
69		17.110000
70		17.090000
71		17.050000
72		17.020000
73		16.970000
74		16.910000
75		16.990000
76		16.980000
77		16.950000
78		16.920000
79		16.900000
80		16.870000
81		16.840000
82		16.750000
83		16.700000
84		16.670000
85		16.600000
86		16.570000
87		16.520000
88		16.460000
89		16.410000
90		16.370000
91		16.330000
92		16.260000
93		16.210000
94		16.200000
95		16.120000
96		16.110000
97		16.080000
98		16.080000
99		16.070000
100		16.040000
101		15.920000
102		15.850000
103		15.840000
104		15.720000
105		15.540000
106		15.420000
107		15.420000
108		15.410000
109		15.400000
110		15.400000
111		15.390000
112		15.380000
113		15.360000
114		15.200000
115		15.200000
116		15.190000
117		15.190000
118		15.180000
119		15.180000
120		15.170000
121		15.170000
122		15.160000
123		15.150000
124		15.140000
125		15.140000
126		15.140000
127		15.130000
128		15.100000
129		15.100000
130		15.100000
131		15.090000
132		15.090000
133		15.080000
134		15.060000
135		15.060000
136		15.050000
137		15.040000
138		15.040000
139		15.040000
140		15.030000
141		15.030000
142		15.030000
143		15.030000
144		15.020000
145		15.000000
146		14.990000
147		14.980000
148		14.970000
149		14.960000
150		14.960000
151		14.940000
152		14.930000
153		14.920000
154		14.910000
155		14.910000
156		14.890000
157		14.880000
158		14.870000
159		14.860000
160		14.850000
161		14.840000
162		14.820000
163		14.820000
164		14.810000
165		14.800000
166		14.790000
167		14.770000
168		14.730000
169		14.710000
170		14.700000
171		14.700000
172		14.690000
173		14.690000
174		14.690000
175		14.690000
176		14.690000
177		14.690000
178		14.660000
179		14.660000
180		14.650000
181		14.650000
182		14.640000
183		14.630000
184		14.630000
185		14.620000
186		14.610000
187		14.600000
188		14.590000
189		14.590000
190		14.580000
191		14.580000
192		14.570000
193		14.570000
194		14.560000
195		14.560000
196		14.550000
197		14.540000
198		14.530000
199		14.500000
200		14.490000
201		14.470000
202		14.450000
203		14.450000
204		14.420000
205		14.410000
206		14.390000
207		14.370000
208		14.360000
209		14.350000
210		14.330000
211		14.310000
212		14.290000
213		14.290000
214		14.280000
215		14.260000
216		14.240000
217		14.230000
218		14.220000
219		14.200000
220		14.190000
221		14.160000
222		14.120000
223		14.080000
224		14.050000
225		14.010000
226		13.970000
227		13.950000
228		13.910000
229		13.890000
230		13.880000
231		13.870000
232		13.860000
233		13.840000
234		13.810000
235		13.790000
236		13.740000
237		13.720000
238		13.720000
239		13.680000
240		13.650000
241		13.630000
242		13.610000
243		13.570000
244		13.550000
245		13.530000
246		13.480000
247		13.450000
248		13.420000
249		13.370000
250		13.340000
251		13.310000
252		13.260000
253		13.210000
254		13.190000
255		13.170000
256		13.110000
257		13.090000
258		13.050000
259		13.050000
260		13.040000
261		13.040000
262		13.030000
263		13.010000
264		13.010000
265		13.000000
266		12.990000
267		12.940000
268		12.880000
269		12.880000
270		12.880000
271		12.880000
272		12.870000
273		12.870000
274		12.860000
275		12.860000
276		12.850000
277		12.850000
278		12.850000
279		12.830000
280		12.830000
281		12.830000
282		12.810000
283		12.810000
284		12.800000
285		12.790000
286		12.780000
287		12.780000
288		12.780000
289		12.780000
290		12.770000
291		12.760000
292		12.760000
293		12.760000
294		12.760000
295		12.760000
296		12.750000
297		12.750000
298		12.740000
299		12.740000
300		12.740000
301		12.740000
302		12.740000
303		12.740000
304		12.730000
